Licence Num,Licensee,Trading As,Category,Trading Hours,After 11 pm,Suburb,Latitude,Longitude,Postal Address,Postal Suburb,Postal Postcode,Council,Region,Metro/Regional,Gaming,geom,geom_suburb
32220949,VIBO FOOD PTY LTD,SUD FOOD & WINE BAR,Restaurant and cafe Licence,Ordinary trading hours,Trading to 11PM,MELBOURNE,-37.81513769,144.954872,219 KING STREET,MELBOURNE,3000,MELBOURNE CITY COUNCIL,Metro North,Metro,N,POINT (144.954872 -37.81513769),Melbourne - Inner
32220957,H D & H PTY LTD,MONTEZUMA'S MESA RESTAURANT,Restaurant and cafe Licence,Ordinary trading hours,Trading to 11PM,PARKDALE,-37.99409306,145.0768362,GROUND FLOOR 280 COMO PARADE WEST,PARKDALE,3194,KINGSTON CITY COUNCIL,Metro South,Metro,N,POINT (145.0768362 -37.99409306),Kingston - North
32221440,JIMMY TWO TIMES PTY LTD,PARK STREET - PASTA & WINE,Restaurant and cafe Licence,Ordinary trading hours,Trading to 11PM,SOUTH MELBOURNE,-37.835437,144.960077,268 PARK STREET,SOUTH MELBOURNE,3205,PORT PHILLIP CITY COUNCIL,Metro South,Metro,N,POINT (144.960077 -37.835437),Port Phillip - West
32221660,FLORA FUTURE VENTURES PTY LTD,BRIAR HILL GODFATHER'S RESTAURANT,Restaurant and cafe Licence,Ordinary trading hours,Trading to 11PM,BRIAR HILL,-37.709272999999996,145.120362,106 MOUNTAIN VIEW ROAD,BRIAR HILL,3088,BANYULE CITY COUNCIL,Metro North,Metro,N,POINT (145.120362 -37.709273),Banyule - North
32221733,KOJI & SEIKO PTY LTD,AKITA JAPANESE RESTAURANT,On-Premises Licence,Ordinary trading hours,Trading to 11PM,NORTH MELBOURNE,-37.802063000000004,144.954437,34 COURTNEY STREET,NORTH MELBOURNE,3051,MELBOURNE CITY COUNCIL,Metro North,Metro,N,POINT (144.954437 -37.802063),Port Phillip - West
32221759,CARMINE'S CORPORATION PTY LTD,DIMATTINA'S,Restaurant and cafe Licence,Trading to 3am,Trading to 3AM,CARLTON,-37.79976366,144.967369,30A OUTER CRECENT,BRIGHTON,3186,MELBOURNE CITY COUNCIL,Metro North,Metro,N,POINT (144.967369 -37.79976366),Port Phillip - West
32221987,MANLEI PTY LTD,PIZZA FARRO,Restaurant and cafe Licence,Trading to 1am,Trading to 1AM,THORNBURY,-37.76141358,145.0003393,608 HIGH STREET,THORNBURY,3071,DAREBIN CITY COUNCIL,Metro North,Metro,N,POINT (145.0003393 -37.76141358),Darebin- Northcote
32222006,SOUTHBOURNE INVESTMENTS PTY LTD,TOKYO TEPPANYAKI JAPANESE RESTAURANT,Restaurant and cafe Licence,Trading to 12 midnight,Trading to Midnight,SOUTH YARRA,-37.84131376,144.995464,536 CHAPEL STREET,SOUTH YARRA,3141,STONNINGTON CITY COUNCIL,Metro South,Metro,N,POINT (144.995464 -37.84131376),Stonnington - Prahran
32222161,RED CAP PIONEER PTY LTD,DRAGON FLY RESTAURANT,Restaurant and cafe Licence,Trading to 1am,Trading to 1AM,TULLAMARINE,-37.68270566,144.8828703,255-257 MICKLEHAM ROAD,TULLAMARINE,3043,HUME CITY COUNCIL,Metro North,Metro,N,POINT (144.8828703 -37.68270566),Hume - Broadmeadows
32222234,MASKIELL MULLINS & BIRCH PTY LTD,HOLLIAVA,On-Premises Licence,Trading to 1am,Trading to 1AM,RICHMOND,-37.82497843,144.9903358,292 CHURCH STREET,RICHMOND,3121,YARRA CITY COUNCIL,Metro North,Metro,N,POINT (144.9903358 -37.82497843),Yarra - Richmond
